enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,last_new_job,training_hours,target
10555,city_173,0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,2,8,0.0
13253,city_82,0.693,Male,Has relevent experience,Full time course,Graduate,STEM,11,2,109,0.0
15637,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,1,70,0.0
28074,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,>4,17,0.0
23012,city_103,0.92,Female,No relevent experience,no_enrollment,Masters,STEM,15,1,51,0.0
16110,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,3,60,1.0
24530,city_114,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,12,>4,7,0.0
32776,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,4,290,0.0
24608,city_160,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,9,2,15,0.0
20081,city_57,0.866,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,>4,156,0.0
3396,city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6,never,102,0.0
31786,city_103,0.92,Male,No relevent experience,no_enrollment,Phd,STEM,>20,>4,14,0.0
23455,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,4,49,1.0
19882,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,>4,72,0.0
7280,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,1,6,0.0
16903,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,17,1,125,0.0
26241,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,2,33,0.0
32092,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,15,>4,55,0.0
3766,city_150,0.698,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,>4,32,0.0
30496,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,>20,>4,11,0.0
7189,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1,41,0.0
31593,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,10,4,114,0.0
11986,city_90,0.698,Male,Has relevent experience,Part time course,Masters,STEM,5,1,15,0.0
3024,city_98,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1,246,0.0
23508,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,9,1,22,0.0
29457,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1,81,0.0
3065,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1,50,0.0
5493,city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,>4,31,0.0
2891,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,never,84,0.0
907,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,>4,72,0.0
29526,city_115,0.789,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,>4,42,1.0
10956,city_94,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,1,152,0.0
26099,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,1,60,0.0
26163,city_21,0.624,Male,No relevent experience,Full time course,Masters,STEM,2,never,8,0.0
4120,city_16,0.91,Male,No relevent experience,Full time course,Masters,STEM,13,3,17,1.0
706,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,4,never,38,0.0
9890,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,14,2,178,0.0
7731,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,never,84,0.0
31943,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,2,32,0.0
33339,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,2,1,39,0.0
29529,city_165,0.903,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,1,55,1.0
32095,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,2,1,104,0.0
23825,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,2,never,102,0.0
24936,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,3,1,88,0.0
16814,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,>4,62,0.0
19249,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,1,83,0.0
9475,city_28,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,>4,11,0.0
4865,city_114,0.926,Male,No relevent experience,Part time course,Phd,STEM,>20,>4,10,0.0
20881,city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,10,1,114,0.0
26002,city_16,0.91,Male,No relevent experience,Full time course,Graduate,STEM,2,never,80,1.0
8528,city_160,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,>20,>4,108,0.0
6141,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,2,45,0.0
27667,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,5,never,77,0.0
2821,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,15,2,8,0.0
25495,city_142,0.727,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,>4,37,0.0
28015,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,2,162,0.0
405,city_165,0.903,Male,Has relevent experience,no_enrollment,Masters,STEM,19,4,4,0.0
13891,city_71,0.884,Female,No relevent experience,no_enrollment,Phd,STEM,3,1,41,0.0
399,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1,190,0.0
8751,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,1,11,0.0
25380,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,13,>4,39,0.0
13083,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,10,>4,29,0.0
15922,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,3,44,0.0
6685,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,>4,47,0.0
28838,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,>4,74,0.0
24082,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,6,1,8,1.0
13135,city_138,0.836,Male,Has relevent experience,no_enrollment,Masters,STEM,14,1,6,0.0
16537,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,15,>4,134,0.0
17358,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,11,1,40,0.0
5630,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,2,never,100,0.0
24152,city_83,0.923,Male,No relevent experience,no_enrollment,Masters,STEM,3,never,30,0.0
20976,city_160,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,5,2,40,0.0
13150,city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,2,27,0.0
13152,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,1,96,0.0
25418,city_160,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,6,1,240,0.0
22689,city_98,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,4,42,0.0
5104,city_75,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,7,1,16,1.0
13994,city_12,0.64,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,never,40,1.0
27064,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,2,94,0.0
29640,city_90,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,1,23,0.0
17519,city_142,0.727,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,2,113,0.0
6085,city_104,0.924,Male,No relevent experience,Full time course,Graduate,STEM,2,1,39,1.0
31692,city_160,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,>20,1,40,0.0
6052,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,>4,56,0.0
12934,city_114,0.926,Male,Has relevent experience,Part time course,Graduate,STEM,19,2,64,0.0
30400,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,1,51,0.0
26419,city_67,0.855,Female,Has relevent experience,Full time course,Graduate,STEM,6,2,41,0.0
28847,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,7,never,20,0.0
32534,city_102,0.804,Male,Has relevent experience,Full time course,Graduate,STEM,9,1,74,0.0
22395,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,3,1,129,1.0
4876,city_67,0.855,Female,Has relevent experience,no_enrollment,Masters,STEM,10,1,42,0.0
2793,city_83,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,>4,166,0.0
5593,city_103,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,>20,1,37,0.0
14003,city_102,0.804,Female,Has relevent experience,Part time course,Graduate,STEM,2,1,95,1.0
30484,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,>4,31,0.0
14688,city_116,0.743,Male,No relevent experience,Full time course,Masters,STEM,11,>4,97,0.0
20322,city_102,0.804,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,>4,206,0.0
22194,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,2,1,204,0.0
20376,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,>4,25,1.0
10102,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,never,107,0.0
10338,city_157,0.769,Male,Has relevent experience,Part time course,Masters,STEM,11,1,17,0.0
15701,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,1,140,0.0
10752,city_67,0.855,Female,Has relevent experience,no_enrollment,Masters,STEM,9,2,42,1.0
17460,city_16,0.91,Female,Has relevent experience,no_enrollment,Graduate,STEM,7,1,22,0.0
9384,city_61,0.913,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,>4,143,0.0
4269,city_67,0.855,Female,Has relevent experience,no_enrollment,Graduate,STEM,14,2,72,0.0
28033,city_136,0.897,Male,No relevent experience,Full time course,Graduate,STEM,3,1,182,0.0
1568,city_99,0.915,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,4,50,0.0
29440,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,2,60,1.0
32652,city_65,0.802,Male,Has relevent experience,Full time course,Masters,STEM,5,4,124,0.0
12875,city_152,0.698,Male,No relevent experience,Full time course,Masters,STEM,3,2,57,1.0
21078,city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,1,17,0.0
27435,city_36,0.893,Male,Has relevent experience,Part time course,Graduate,STEM,15,4,198,0.0
27866,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1,31,0.0
7328,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,>4,26,1.0
24807,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,1,55,0.0
27113,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,>4,8,1.0
760,city_23,0.899,Male,Has relevent experience,no_enrollment,Graduate,Humanities,16,2,8,0.0
2990,city_173,0.878,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,3,32,1.0
2194,city_23,0.899,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,1,19,0.0
21564,city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,9,2,46,1.0
17432,city_16,0.91,Female,Has relevent experience,no_enrollment,Graduate,STEM,13,>4,15,0.0
13952,city_160,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,>4,23,1.0
1988,city_36,0.893,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,>4,38,0.0
8540,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,>4,52,0.0
8806,city_103,0.92,Female,No relevent experience,no_enrollment,Graduate,STEM,<1,never,22,1.0
15468,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,15,2,65,0.0
4075,city_100,0.887,Male,No relevent experience,Full time course,Graduate,STEM,4,1,52,1.0
22517,city_114,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,3,1,86,0.0
26388,city_136,0.897,Male,No relevent experience,Full time course,Masters,STEM,5,4,288,1.0
30676,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,>4,53,0.0
10970,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,18,>4,178,0.0
29961,city_75,0.939,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,2,166,0.0
5136,city_104,0.924,Male,Has relevent experience,no_enrollment,Phd,Humanities,>20,1,62,0.0
20369,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,7,1,35,0.0
23505,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,>4,106,0.0
11751,city_138,0.836,Male,No relevent experience,no_enrollment,Graduate,STEM,6,never,58,0.0
10370,city_75,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,16,2,166,0.0
9217,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,1,1,37,0.0
25421,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,1,84,0.0
20698,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1,72,0.0
23636,city_67,0.855,Male,No relevent experience,Full time course,Graduate,STEM,12,4,47,0.0
21466,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,1,198,1.0
9515,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,Other,2,1,64,0.0
20743,city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,15,>4,23,1.0
25766,city_71,0.884,Male,No relevent experience,Full time course,Masters,STEM,14,3,96,0.0
16178,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1,48,0.0
1829,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,1,98,1.0
8287,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,1,1,53,1.0
10529,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,>20,1,102,0.0
17083,city_160,0.92,Female,Has relevent experience,Full time course,Graduate,STEM,4,1,7,0.0
16414,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,1,53,0.0
32340,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,1,161,0.0
18462,city_136,0.897,Male,No relevent experience,no_enrollment,Masters,STEM,8,1,11,0.0
30636,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,1,1,72,1.0
29982,city_105,0.794,Female,Has relevent experience,no_enrollment,Masters,Humanities,6,1,182,0.0
29217,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,>4,67,0.0
22508,city_71,0.884,Female,No relevent experience,Part time course,Graduate,STEM,5,1,16,0.0
28080,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,Arts,5,1,98,0.0
21134,city_70,0.698,Male,No relevent experience,Part time course,Graduate,STEM,4,2,7,1.0
30925,city_160,0.92,Male,No relevent experience,Full time course,Graduate,STEM,2,1,88,0.0
29000,city_71,0.884,Male,Has relevent experience,no_enrollment,Masters,STEM,4,2,112,0.0
26925,city_158,0.7659999999999999,Other,Has relevent experience,Full time course,Graduate,STEM,15,never,30,1.0
21989,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,4,24,0.0
10984,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,2,1,28,0.0
26543,city_173,0.878,Male,Has relevent experience,Part time course,Graduate,STEM,10,1,166,0.0
32043,city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,10,2,61,1.0
15343,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,3,24,0.0
30967,city_16,0.91,Male,No relevent experience,Full time course,Graduate,STEM,10,1,8,1.0
30191,city_165,0.903,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1,133,0.0
23185,city_173,0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,>4,29,0.0
9600,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,>4,11,1.0
25963,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,1,7,0.0
5141,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,>4,87,0.0
657,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,1,18,0.0
29991,city_41,0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,Arts,9,1,76,1.0
18759,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,1,114,0.0
20135,city_83,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,>4,80,0.0
18620,city_40,0.7759999999999999,Male,Has relevent experience,Full time course,Graduate,STEM,14,never,52,0.0
24226,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,<1,1,13,0.0
11966,city_138,0.836,Male,Has relevent experience,no_enrollment,Masters,Humanities,2,1,36,0.0
10017,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,>4,67,0.0
361,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1,100,0.0
25041,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,1,18,1.0
17783,city_65,0.802,Male,Has relevent experience,Full time course,Graduate,STEM,<1,2,11,0.0
13256,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,2,15,1.0
28468,city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,>4,88,0.0
4978,city_114,0.926,Male,Has relevent experience,Part time course,Masters,STEM,14,2,16,0.0
28641,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,>4,95,0.0
28915,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,6,1,53,0.0
33367,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,>4,220,1.0
3999,city_72,0.795,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,>4,94,0.0
31153,city_101,0.5579999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,8,never,47,1.0
26616,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,2,60,0.0
24366,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,4,78,1.0
1396,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,3,2,0.0
1563,city_19,0.682,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,3,25,0.0
29612,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,5,1,8,1.0
30441,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,19,>4,90,0.0
11545,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,1,120,0.0
2404,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,never,18,1.0
19555,city_65,0.802,Male,Has relevent experience,Full time course,Graduate,STEM,8,2,314,0.0
17400,city_16,0.91,Male,No relevent experience,Full time course,Graduate,STEM,2,never,10,0.0
10612,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,8,1,25,1.0
23365,city_101,0.5579999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,<1,1,146,1.0
13288,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,1,26,0.0
23430,city_20,0.7959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,>4,25,0.0
30404,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,>4,50,1.0
8930,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,>4,30,0.0
3920,city_106,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,4,39,0.0
22420,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,Humanities,9,2,226,0.0
28415,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,1,60,0.0
32260,city_78,0.579,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,1,9,0.0
21603,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,1,50,0.0
17665,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,2,91,0.0
19612,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,5,1,15,1.0
18905,city_103,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,5,2,14,0.0
824,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,1,74,0.0
14217,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,14,1,52,0.0
33242,city_73,0.754,Male,No relevent experience,Part time course,Graduate,STEM,8,1,50,0.0
24224,city_150,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,never,100,0.0
9684,city_10,0.895,Male,Has relevent experience,no_enrollment,Masters,STEM,17,1,42,0.0
8584,city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,4,11,0.0
27003,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,10,2,74,0.0
29723,city_45,0.89,Male,Has relevent experience,Full time course,Graduate,STEM,9,>4,90,0.0
33181,city_67,0.855,Male,No relevent experience,no_enrollment,Masters,STEM,>20,2,234,0.0
29288,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,3,3,11,1.0
3004,city_104,0.924,Male,Has relevent experience,no_enrollment,Masters,Humanities,7,1,163,0.0
